Composante,Cours d?clar?s,Cours cr??s,Etudiants inscrits ? un cours,Promotions d?clar?es,Etudiants d?clar?es
1 : UFR DROIT,4068,375,2634,79,3452
2 : UFR ECONOMIE ET GESTION,1786,57,1729,82,2832
3 : UFR LANGUES ETUDES INTERNATIONALES,3243,292,1486,56,1778
4 : UFR LETTRES ET SCIENCES HUMAINES,2799,189,1745,60,1810
5 : UFR SCIENCES ET TECHNIQUES,9207,532,3231,152,5941
7 : IUT,1746,361,1594,74,2010
8 : INSCRIPTIONS HORS COMPOSANTE,102,52,167,7,167
A : ESPE,5073,240,3461,122,3502
B : SCIENCES PO,340,13,157,7,626
1 : UFR DROIT,4231,880,3009,72,0
2 : UFR ECONOMIE ET GESTION,1369,252,2618,66,0
3 : UFR LANGUES ETUDES INTERNATIONALES,2653,778,1732,54,0
4 : UFR LETTRES ET SCIENCES HUMAINES,2421,585,1937,53,0
5 : UFR SCIENCES ET TECHNIQUES,8609,1343,5938,146,0
7 : IUT,1888,1013,1764,74,0
8 : INSCRIPTIONS HORS COMPOSANTE,59,128,28,6,0
A : ESPE,5053,668,4058,106,0
B : SCIENCES PO,373,20,0,8,0
1 : UFR DROIT,4289,1439,3137,84,3708
2 : UFR ECONOMIE ET GESTION,2612,412,1807,79,2661
D : CY TECH,3222,65,1077,58,3440
3 : UFR LANGUES ETUDES INTERNATIONALES,4938,1209,1749,57,1830
4 : UFR LETTRES ET SCIENCES HUMAINES,3231,1055,1399,65,1963
5 : UFR SCIENCES ET TECHNIQUES,11057,1933,4516,169,5575
7 : IUT,2011,1662,1815,76,2019
8 : INSCRIPTIONS HORS COMPOSANTE,108,241,311,9,311
A : ESPE,6070,1084,2465,138,3556
B : SCIENCES PO,405,21,0,9,779
1 : UFR DROIT,4240,2081,2525,86,0
2 : UFR ECONOMIE ET GESTION,2556,454,1177,70,0
D : CY TECH,6988,76,0,95,0
3 : UFR LANGUES ETUDES INTERNATIONALES,6292,1343,1356,57,0
4 : UFR LETTRES ET SCIENCES HUMAINES,3454,1215,721,61,0
5 : UFR SCIENCES ET TECHNIQUES,10277,2099,1552,149,0
7 : IUT,1937,1907,1286,66,0
8 : INSCRIPTIONS HORS COMPOSANTE,249,276,10,17,0
A : ESPE,4322,1195,1102,108,0
B : SCIENCES PO,453,22,0,10,0
