REG,CS1,CE,SEXE,BRUT_EQTP,P10_BRUT_EQTP,P20_BRUT_EQTP,P30_BRUT_EQTP,P40_BRUT_EQTP,P50_BRUT_EQTP,P60_BRUT_EQTP,P70_BRUT_EQTP,P80_BRUT_EQTP,P90_BRUT_EQTP
1,3,C,H,73621,31948,41378,49020,56037,64098,72186,81873,95253,120574
1,3,C,F,60058,32098,39717,45310,50585,55412,60927,67046,75221,90513
1,3,C,E,67726,32004,40506,47108,53117,59560,66209,74705,86247,109062
1,4,C,H,41558,22399,26573,30224,33595,37105,41165,46140,53266,64635
1,4,C,F,38733,22451,26788,30270,33372,36463,39757,43737,48981,56199
1,4,C,E,40093,22411,26682,30263,33471,36756,40410,44850,50707,59908
1,5,C,H,29740,19183,21277,22905,24696,26608,28766,31496,35472,43568
1,5,C,F,28397,18808,20453,22170,23751,25781,28044,30827,34338,41073
1,5,C,E,28863,18905,20728,22443,24080,26101,28292,31057,34715,41856
1,6N,C,H,24264,17027,18950,20595,22029,23231,24610,26606,29132,33269
1,6N,C,F,22038,10942,17501,19452,20991,22065,22787,23909,25512,29362
1,6N,C,E,23837,13826,18741,20393,21757,22889,24155,26066,28536,32632
1,6Q,C,H,29012,19247,21223,22826,24537,26412,28578,31019,34197,40567
1,6Q,C,F,25416,18490,19840,21097,22482,23877,25253,27306,29697,32692
1,6Q,C,E,28765,19178,21100,22692,24353,26200,28334,30722,33826,40093
1,T,C,H,36398,19516,21906,23911,26255,28937,32070,36705,44690,61495
1,T,C,F,34319,19286,21613,23713,26357,29295,32654,37331,43866,55020
1,T,C,E,35471,19399,21779,23831,26290,29095,32330,36994,44299,58018
1,3,N,H,60051,18533,22184,26758,32515,40878,49583,60826,74758,113622
1,3,N,F,52469,20364,25277,32948,39642,45568,51072,57344,71520,93087
1,3,N,E,56914,18576,23277,29328,36120,43531,50199,59470,73429,105026
1,4,N,H,34262,18260,19338,21508,24400,27468,30681,34584,42144,52374
1,4,N,F,31596,18255,18729,20060,22919,26159,29957,35463,41722,49829
1,4,N,E,32371,18255,18857,20278,23281,26766,30246,35174,41812,50440
1,5,N,H,24254,18280,19480,20333,21500,22352,23135,24480,26692,30193
