Rgp;Rgp_lib;Dut;Dut_lib;Dut_sigle;Id Série ou type de Bac;Série ou type de Bac;Id Âge au bac;Âge au bac;Id Sexe;Sexe;Id Mention au Bac;Mention au Bac;Année de cohorte des données sur le passage entre L1 et L2;Effectif de néobacheliers de la cohorte;Passage en 2ème année de DUT en 1 an;Redoublement en 1ère année de DUT;Passage en 2ème année de DUT en 2 ans;Passage en 2ème année de DUT en 1 ou 2 ans;Année de cohorte des données sur la réussite en licence;Effectif de néobacheliers de la cohorte;Obtention du DUT en 2 ans;Obtention du DUT en 3 ans;Obtention du DUT en 2 ou 3 ans
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;1;BAC L;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;1.0;3.0;2.0;2.0;5;2013;1.0;1.0;0.0;1.0
CBPI;Chimie, biologie, procédés industriels;CHIMIE;Chimie;;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;3.0;0.0;0.0;0.0;0;2013;3.0;0.0;0.0;0.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;1;BAC L;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;3;BAC S;R0;A l'heure ou en avance;1;Homme;D;Passable premier groupe;2014;7.0;5.0;0.0;0.0;5;2013;7.0;3.0;2.0;5.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;2;BAC ES;R2;En retard de plus d'un an;1;Homme;B;Bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;3;BAC S;R1;En retard d'un an;2;Femme;P;Passable deuxième groupe;2014;2.0;;;;;2013;2.0;2.0;0.0;2.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;9.0;0.0;1.0;0.0;0;2013;9.0;6.0;0.0;6.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;4;BAC STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;18.0;17.0;4.0;2.0;19;2013;18.0;15.0;1.0;16.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;6;BAC professionnel;R4;Non pris en compte;1;Homme;B;Bien;2014;3.0;3.0;0.0;0.0;3;2013;3.0;;;
CM;Communication et médiation;CS;Carrières sociales;CS;1;BAC L;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;16.0;10.0;0.0;0.0;10;2013;16.0;11.0;2.0;13.0
CM;Communication et médiation;CS;Carrières sociales;CS;3;BAC S;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
CM;Communication et médiation;CS;Carrières sociales;CS;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;36.0;42.0;0.0;0.0;42;2013;36.0;30.0;0.0;30.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;1;BAC L;R1;En retard d'un an;2;Femme;B;Bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
CM;Communication et médiation;CS;Carrières sociales;CS;6;BAC professionnel;R4;Non pris en compte;1;Homme;B;Bien;2014;4.0;4.0;0.0;0.0;4;2013;4.0;;;
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;A;Très bien;2014;1.0;;;;;2013;1.0;0.0;1.0;1.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;3;BAC S;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;4.0;7.0;0.0;0.0;7;2013;4.0;4.0;0.0;4.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;4;BAC STMG;R1;En retard d'un an;2;Femme;A;Très bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;6;BAC professionnel;R4;Non pris en compte;1;Homme;B;Bien;2014;24.0;27.0;4.0;1.0;28;2013;24.0;16.0;2.0;18.0
SIMC;Sciences industrielles, matériaux, contrôle;GMP;Génie mécanique et productique;GMP;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;C;Assez bien;2014;10.0;11.0;3.0;2.0;13;2013;10.0;0.0;3.0;3.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;3;BAC S;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;5.0;0.0;0.0;0.0;0;2013;5.0;4.0;0.0;4.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;Q;Inconnue;2014;2.0;;;;;2013;2.0;1.0;1.0;2.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;6;BAC professionnel;R4;Non pris en compte;2;Femme;C;Assez bien;2014;1.0;2.0;1.0;1.0;3;2013;1.0;0.0;0.0;0.0
EAI;Électronique, automatique, informatique;INFO;Informatique;;1;BAC L;R0;A l'heure ou en avance;1;Homme;Q;Inconnue;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
EAI;Électronique, automatique, informatique;INFO;Informatique;;2;BAC ES;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;1.0;0.0;0.0;0.0;0;2013;1.0;;;
EAI;Électronique, automatique, informatique;INFO;Informatique;;3;BAC S;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;17.0;1.0;3.0;2.0;3;2013;17.0;3.0;3.0;6.0
EAI;Électronique, automatique, informatique;INFO;Informatique;;3;BAC S;R2;En retard de plus d'un an;2;Femme;B;Bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
EAI;Électronique, automatique, informatique;INFO;Informatique;;6;BAC professionnel;R4;Non pris en compte;2;Femme;C;Assez bien;2014;1.0;0.0;1.0;1.0;1;2013;1.0;;;
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;1;BAC L;R1;En retard d'un an;2;Femme;B;Bien;2014;4.0;6.0;0.0;0.0;6;2013;4.0;4.0;0.0;4.0
