Id,YearBuilt,YearRemodAdd,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,FullBath,HalfBath,TotRmsAbvGrd,GarageCars,GarageArea,NbChildren,SalePrice
1,2003,2003,150,856,856,854,3,1,2,1,8,2,548,2,208500
2,1976,1976,284,1262,1262,0,3,1,2,0,6,2,460,0,181500
3,2001,2002,434,920,920,866,3,1,2,1,6,2,608,4,223500
4,1915,1970,540,756,961,756,3,1,1,0,7,3,642,4,140000
5,2000,2000,490,1145,1145,1053,4,1,2,1,9,3,836,5,250000
6,1993,1995,64,796,796,566,1,1,1,1,5,2,480,2,143000
7,2004,2005,317,1686,1694,0,3,1,2,0,7,2,636,2,307000
8,1973,1973,216,1107,1107,983,3,1,2,1,7,2,484,5,200000
9,1931,1950,952,952,1022,752,2,2,2,0,8,2,468,4,129900
10,1939,1950,140,991,1077,0,2,2,1,0,5,1,205,6,118000
11,1965,1965,134,1040,1040,0,3,1,1,0,5,1,384,6,129500
12,2005,2006,177,1175,1182,1142,4,1,3,0,11,3,736,2,345000
13,1962,1962,175,912,912,0,2,1,1,0,4,1,352,1,144000
14,2006,2007,1494,1494,1494,0,3,1,2,0,7,3,840,2,279500
15,1960,1960,520,1253,1253,0,2,1,1,1,5,1,352,1,157000
16,1929,2001,832,832,854,0,2,1,1,0,5,2,576,0,132000
17,1970,1970,426,1004,1004,0,2,1,1,0,5,2,480,5,149000
18,1967,1967,0,0,1296,0,2,2,2,0,6,2,516,3,90000
19,2004,2004,468,1114,1114,0,3,1,1,1,6,2,576,5,159000
20,1958,1965,525,1029,1339,0,3,1,1,0,6,1,294,3,139000
21,2005,2006,1158,1158,1158,1218,4,1,3,1,9,3,853,3,325300
22,1930,1950,637,637,1108,0,3,1,1,0,6,1,280,5,139400
23,2002,2002,1777,1777,1795,0,3,1,2,0,7,2,534,5,230000
24,1976,1976,200,1040,1060,0,3,1,1,0,6,2,572,6,129900
25,1968,2001,204,1060,1060,0,3,1,1,0,6,1,270,5,154000
26,2007,2007,1566,1566,1600,0,3,1,2,0,7,3,890,1,256300
27,1951,2000,180,900,900,0,3,1,1,0,5,2,576,1,134800
28,2007,2008,486,1704,1704,0,3,1,2,0,7,3,772,6,306000
29,1957,1997,207,1484,1600,0,2,1,1,0,6,1,319,0,207500
30,1927,1950,520,520,520,0,1,1,1,0,4,1,240,5,68500
31,1920,1950,649,649,649,668,3,1,1,0,6,1,250,6,40000
32,1966,2006,1228,1228,1228,0,3,1,1,1,6,1,271,4,149350
33,2007,2007,1234,1234,1234,0,3,1,2,0,7,2,484,4,179900
34,1959,1959,380,1398,1700,0,4,1,1,1,6,2,447,0,165500
35,2005,2005,408,1561,1561,0,2,1,2,0,6,2,556,4,277500
36,2004,2005,1117,1117,1132,1320,4,1,3,1,9,3,691,0,309000
37,1994,1995,1097,1097,1097,0,3,1,1,1,6,2,672,5,145000
38,1954,1990,84,1297,1297,0,3,1,1,0,5,2,498,1,153000
39,1953,2007,326,1057,1057,0,3,1,1,0,5,1,246,1,109000
40,1955,1955,0,0,1152,0,2,2,2,0,6,0,0,3,82000
41,1965,1965,445,1088,1324,0,3,1,2,0,6,2,440,2,160000
42,1959,1959,383,1350,1328,0,2,1,1,1,5,1,308,3,170000
43,1983,1983,0,840,884,0,2,1,1,0,5,2,504,5,144000
44,1975,1980,167,938,938,0,3,1,1,0,5,1,308,5,130250
45,1959,1959,465,1150,1150,0,3,1,1,0,6,1,300,1,141000
46,2005,2005,1296,1752,1752,0,2,1,2,0,6,2,576,5,319900
47,2003,2003,83,1434,1518,631,1,1,1,1,6,2,670,1,239686
48,2006,2006,1632,1656,1656,0,3,1,2,0,7,3,826,1,249700
49,1920,2008,736,736,736,716,2,3,2,0,8,0,0,6,113000
50,1966,1966,192,955,955,0,3,1,1,0,6,1,386,3,127000
51,1997,1997,612,794,794,676,3,1,2,0,6,2,388,3,177000
52,1934,1950,816,816,816,0,3,1,1,0,6,2,528,1,114500
53,1963,1963,0,816,816,0,2,1,1,0,5,2,516,3,110000
54,1981,1987,32,1842,1842,0,0,1,0,1,5,3,894,0,385000
55,1955,1955,0,384,1360,0,3,1,1,0,6,2,572,3,130000
56,1964,1964,935,1425,1425,0,3,1,2,0,7,2,576,0,180500
57,1999,2000,321,970,983,756,3,1,2,1,7,2,480,1,172500
58,2004,2004,860,860,860,860,3,1,2,1,7,2,565,2,196500
59,2006,2006,1410,1410,1426,1519,3,1,3,1,10,3,641,3,438780
60,1972,1972,148,780,780,0,2,1,1,0,4,1,352,1,124900
61,2004,2004,217,1158,1158,0,3,1,1,1,5,2,576,4,158000
62,1920,1996,530,530,581,530,3,1,1,0,6,1,288,4,101000
63,2006,2006,1346,1370,1370,0,2,1,2,0,6,2,484,2,202500
64,1921,1950,576,576,902,808,3,1,2,0,9,2,480,0,140000
65,1997,1998,318,1057,1057,977,3,1,2,1,8,2,645,1,219500
66,2004,2005,1143,1143,1143,1330,4,1,2,1,9,3,852,1,317000
