taille_en_pieds_carre,nb_chambres,age_vendeur,prix
2104,3,49,399900
1600,3,47,329900
2400,3,35,369000
1416,2,61,232000
3000,4,50,539900
1985,4,33,299900
1534,3,54,314900
1427,3,55,198999
1380,3,28,212000
1494,3,57,242500
1940,4,27,239999
2000,3,65,347000
1890,3,55,329999
4478,5,62,699900
1268,3,64,259900
2300,4,60,449900
1320,2,32,299900
1236,3,65,199900
2609,4,23,499998
3031,4,50,599000
1767,3,26,252900
1888,2,58,255000
1604,3,23,242900
1962,4,44,259900
3890,3,22,573900
1100,3,24,249900
1458,3,28,464500
2526,3,36,469000
2200,3,38,475000
2637,3,57,299900
1839,2,25,349900
1000,1,32,169900
2040,4,26,314900
3137,3,42,579900
1811,4,41,285900
1437,3,30,249900
1239,3,61,229900
2132,4,31,345000
4215,4,44,549000
2162,4,28,287000
1664,2,32,368500
2238,3,49,329900
2567,4,24,314000
1200,3,63,299000
852,2,64,179900
1852,4,24,299900
1203,3,64,239500
