,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
657,MALINS FRANCE,7 RUE DE CASTELLANE,75008,PARIS 8E ARRONDISSEMENT,16185190,2021-10-01T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.872226,2.325137
914,POKE ME 14,1 RUE BOYER BARRET,75014,PARIS 14E ARRONDISSEMENT,15804038,2020-12-01T01:00:00+01:00,Traiteur,Satisfaisant,,Traiteur,48.833329,2.317301
1105,ZAMANE,118 RUE MOUFFETARD,75005,Paris 5e  Arrondissement,21-039940-1,2021-05-25T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.840315,2.349701
1111,CARREFOUR EXPRESS,7 RUE MONTMARTRE,75001,Paris 1er Arrondissement,21-092987-1,2021-11-17T01:00:00+01:00,Alimentation générale|Rayon pain/viennoiserie/pâtisserie,Très satisfaisant,,Alimentation générale|Rayon pain/viennoiserie/pâtisserie,48.86392,2.345476
1138,ELIOR CONCESSIONS GARES,11 RUE D'AMSTERDAM,75008,Paris 8e  Arrondissement,21-085883-1,2021-10-20T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.876531,2.326792
1150,L'ORANGE VERTE,92 RUE DE MAUBEUGE,75010,Paris 10e  Arrondissement,21-087427-1,2021-10-26T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.879938,2.350684
1157,PIKE POKE,24 RUE VERNIER,75017,Paris 17e  Arrondissement,21-039772-1,2021-05-19T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.884166,2.290987
1169,L'AVENUE,85 RUE VAUVENARGUES,75018,Paris 18e  Arrondissement,20-087831-1,2020-12-09T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.897393,2.329381
1171,PIZZA DELIZIA,116 RUE DU CHEMIN VERT,75011,Paris 11e  Arrondissement,21-050829-1,2021-06-24T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.861825,2.383547
1175,HOTELIERE MONTMARTRE,11 PL EMILE GOUDEAU,75018,Paris 18e  Arrondissement,21-080646-1,2021-10-06T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.885917,2.337677
1187,TMS,263 RUE DE BELLEVILLE,75019,Paris 19e  Arrondissement,21-013542-1,2021-02-15T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.87556,2.399102
1196,CARREFOUR EXPRESS,7 RUE MONTMARTRE,75001,Paris 1er Arrondissement,21-092978-1,2021-11-17T01:00:00+01:00,Libre service|Alimentation générale,Très satisfaisant,,Libre service|Alimentation générale,48.86392,2.345476
1199,ECOLE MATERNELLE,6 RUE LITTRÉ,75006,Paris 6e  Arrondissement,21-045146-1,2021-03-24T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,48.845747,2.323705
1210,EDWART,17 RUE VIEILLE DU TEMPLE,75004,Paris 4e  Arrondissement,20-087987-1,2020-12-11T01:00:00+01:00,Chocolatier,Très satisfaisant,,Chocolatier,48.856902,2.356961
1211,ON PARTAGE,137 B RUE DE CHARONNE,75011,Paris 11e  Arrondissement,21-055391-1,2021-07-08T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.854257,2.383776
1216,SAS CHOCOLATERIE DE PUYRICARD,6 RUE DU PONT LOUIS PHILIPPE,75004,Paris 4e  Arrondissement,20-087990-1,2020-12-11T01:00:00+01:00,Chocolatier,Très satisfaisant,,Chocolatier,48.854779,2.355456
1224,NOUVEAU CHALET DU LAC,AVENUE DU BEL AIR,75012,Paris 12e  Arrondissement,21-083472-1,2021-10-07T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.846513,2.397496
1232,CLASSICS HOTEL BASTILLE,131 RUE DE CHARONNE,75011,Paris 11e  Arrondissement,21-055441-1,2021-07-08T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.855047,2.386555
1233,BEAUMARCHAIS DISTRIBUTION,103 BOULEVARD BEAUMARCHAIS,75003,Paris 3e  Arrondissement,21-053532-1,2021-07-05T02:00:00+02:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.860281,2.367153
1244,LE NESLE,22 RUE DAUPHINE,75006,Paris 6e  Arrondissement,21-081821-1,2021-10-11T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.855141,2.339544
1245,DELICES D'ASIE,119 RUE SAINT ANTOINE,75004,Paris 4e  Arrondissement,20-091736-1,2020-12-23T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.855118,2.360432
1254,TANG FRERES,87 AVENUE DE FLANDRE,75019,Paris 19e  Arrondissement,21-083880-1,2021-10-15T02:00:00+02:00,Traiteur,Très satisfaisant,,Traiteur,48.889503,2.374855
1262,FRANCE MONGKOK SHUFEI RESTAURANT,23 RUE JUGE,75015,Paris 15e  Arrondissement,21-068876-1,2021-08-31T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.849894,2.29319
1264,LE DAUPHIN,78 RUE DAMREMONT,75018,Paris 18e  Arrondissement,21-079923-1,2021-10-04T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.892039,2.335357
1281,LA TARENTELLA,LA TARENTELLA,75018,Paris 18e  Arrondissement,20-087866-1,2020-12-09T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.887473,2.358733
1284,INVICTUS,5 RUE SAINTE BEUVE,75006,Paris 6e  Arrondissement,21-087650-1,2021-10-26T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.844093,2.329745
1292,RYUKISHIN WAIZ,59 RUE DE RICHELIEU,75002,Paris 2e  Arrondissement,21-069008-1,2021-08-31T02:00:00+02:00,Restaurant,A améliorer,,Restaurant,48.866927,2.337399
1294,GIOVANNI,13 RUE MONTHOLON,75009,Paris 9e  Arrondissement,21-057975-1,2021-07-20T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.876554,2.347264
1305,GOLOSINO,4 SQ VERMENOUZE,75005,Paris 5e  Arrondissement,21-040711-1,2021-05-25T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.840769,2.348948
1306,APPELLATIONS D ORIGINE,26 RUE LEPIC,75018,Paris 18e  Arrondissement,21-063986-1,2021-05-11T02:00:00+02:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.885264,2.334327
1309,BISTROT MELAC,42 RUE LEON FROT,75011,Paris 11e  Arrondissement,21-067159-1,2021-08-24T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.855645,2.386699
1312,CAFE FUSAIN,50 AVENUE PARMENTIER,75011,Paris 11e  Arrondissement,21-041385-1,2021-05-20T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.862192,2.376994
1315,SAS EK- VENDOME,33 RUE DANIEL CASANOVA,75001,Paris 1er Arrondissement,21-054580-1,2021-07-06T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.86812,2.330742
1326,SUPERNOVA,12 RUE REAUMUR,75003,Paris 3e  Arrondissement,21-005079-1,2021-01-19T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.864989,2.358966
1328,MCDONALD'S,2 RUE D ORSEL,75018,Paris 18e  Arrondissement,21-017885-1,2021-03-02T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.883964,2.34671
1338,CARREFOUR CITY,6 RUE BEAUBOURG,75004,Paris 4e  Arrondissement,20-087981-1,2020-12-11T01:00:00+01:00,Libre service,Très satisfaisant,,Libre service,48.860673,2.353334
1344,CARREFOUR CITY,6 RUE BEAUBOURG,75004,Paris 4e  Arrondissement,20-087982-1,2020-12-11T01:00:00+01:00,Rayon pain/viennoiserie/pâtisserie,Très satisfaisant,,Rayon pain/viennoiserie/pâtisserie,48.860673,2.353334
1345,CHIDO,2 RUE ST PHILIPPE DU ROULE,75008,Paris 8e  Arrondissement,21-040122-1,2021-05-25T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.873388,2.308878
1346,MONA & CO,48 AVENUE EMILE ZOLA,75015,Paris 15e  Arrondissement,21-080066-1,2021-10-05T02:00:00+02:00,Commerce alimentaire,Très satisfaisant,,,48.846288,2.282783
1351,W.E. I PARIS REPUBLIQUE SAS,"10, PLACE DE LA REPUBLIQUE",75011,Paris 11e  Arrondissement,21-073022-1,2021-09-13T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.867386,2.365249
1357,CLINIQUE DU MONT LOUIS,8 RUE DE LA FOLIE REGNAULT,75011,Paris 11e  Arrondissement,21-069091-1,2021-08-31T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.857197,2.385941
1365,ZAZZEN COMMUNAUTE ENFANTINE,98  RUE DE LOURMEL,75015,Paris 15e  Arrondissement,21-085940-1,2021-10-12T02:00:00+02:00,Restauration collective,Très satisfaisant,,Restauration collective,48.843869,2.286353
1366,LE DODO,14 RUE DE LA FIDELITE,75010,Paris 10e  Arrondissement,20-094095-1,2021-01-21T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.874614,2.356548
1368,LYCEE HOTELIER GUILLAUME TIREL,237 BOULEVARD RASPAIL,75014,Paris 14e  Arrondissement,20-088097-1,2020-12-09T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.839296,2.330856
1371,CHEZ MILO,16 RUE MAUBLANC,75015,Paris 15e  Arrondissement,21-090580-1,2021-11-05T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.839503,2.300122
1374,ZAZEN,158 BOULEVARD PEREIRE,75017,Paris 17e  Arrondissement,21-041175-1,2021-05-28T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.882983,2.293076
1392,L'ALOUETTE,24 RUE DU CHAMP DE L ALOUETTE,75013,Paris 13e  Arrondissement,21-091139-1,2021-11-09T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.831868,2.344622
1393,DTNG,15 RUE GIT LE COEUR,75006,Paris 6e  Arrondissement,21-040098-1,2021-05-25T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.853561,2.342558
1404,BARRACUDA,10 PLACE DU COLONEL BOURGOIN,75012,Paris 12e  Arrondissement,21-044366-1,2021-06-03T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.844576,2.383485
1410,LE JU,16 RUE DES ARCHIVES,75004,Paris 4e  Arrondissement,21-004946-1,2021-01-18T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.857722,2.354746
1420,CHEZ ADDY ET IDA,4 RUE JAUCOURT,75012,Paris 12e  Arrondissement,21-029204-1,2021-04-09T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.846487,2.394632
1424,PARADIS THAI,132 RUE DE TOLBIAC,75013,Paris 13e  Arrondissement,21-058009-1,2021-07-20T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.826202,2.358579
1426,AROY WOK,91 RUE DE LA VICTOIRE,75009,Paris 9e  Arrondissement,21-040063-1,2021-05-25T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.874838,2.331021
1442,CARREFOUR MARKET,165 RUE MARCADET,75018,Paris 18e  Arrondissement,21-056446-1,2021-04-13T02:00:00+02:00,Rayon fromagerie,Très satisfaisant,,Rayon fromagerie,48.891353,2.337121
1455,PAI PARTNERS,232 RUE DE RIVOLI,75001,Paris 1er Arrondissement,21-028654-1,2021-04-08T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.865293,2.327782
1462,LYLO,73 RUE DE LA CONVENTION,75015,Paris 15e  Arrondissement,20-088377-1,2020-12-11T01:00:00+01:00,Libre service|Alimentation générale,Très satisfaisant,,Libre service|Alimentation générale,48.842703,2.284647
1464,SAS ESPACE RQP,21 RUE DE MIROMESNIL,75008,Paris 8e  Arrondissement,21-039995-1,2021-05-21T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.872581,2.315924
1481,INSTITUT ARTHUR VERNES,36 RUE D ASSAS,75006,Paris 6e  Arrondissement,21-055693-1,2021-07-12T02:00:00+02:00,Restauration collective,Très satisfaisant,,Restauration collective,48.847581,2.32965
1489,LE FLEUVE ROUGE,1 RUE PRADIER,75019,Paris 19e  Arrondissement,21-093746-1,2021-10-06T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.8748,2.381079
1491,CARREFOUR MARKET,165 RUE MARCADET,75018,Paris 18e  Arrondissement,21-056440-1,2021-04-13T02:00:00+02:00,Rayon poissonnerie,Très satisfaisant,,Rayon poissonnerie,48.891353,2.337121
1508,MOGO,89 RUE DE LA VICTOIRE,75009,Paris 9e  Arrondissement,21-040087-1,2021-05-25T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.874886,2.331184
1509,SOLYLES,SOLYLES,75018,Paris 18e  Arrondissement,21-055623-1,2021-04-13T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.889111,2.3401
1512,WOODIZ,16 RUE SOPHIE GERMAIN,75014,Paris 14e  Arrondissement,20-088088-1,2020-12-09T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.831072,2.330337
1516,LES 2 M DISTRIBUTION,20 RUE DE JESSAINT,75018,Paris 18e  Arrondissement,21-079260-1,2021-07-29T02:00:00+02:00,Libre service,Très satisfaisant,,Libre service,48.885046,2.355703
1520,LA CANTINE VIET-THAI,4 B RUE MICHEL CHASLES,75012,Paris 12e  Arrondissement,21-011171-1,2021-02-10T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.846446,2.37403
