,APP_Libelle_etablissement,SIRET,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,geores,filtre,ods_type_activite,lat,lon
384,XL PIZZA (P.A PIZZA),53290682300010,6 RUE MARCEL MICHEAU,77220,TOURNAN EN BRIE,16048449,2021-06-17T02:00:00+02:00,_,Satisfaisant,,"48.740559,2.765515",,Autres,48.740559,2.765515
863,L EMPERADOR,84005547900017,29 RUE FRANCOIS DE TESSAN,77330,OZOIR LA FERRIERE,15932142,2021-03-16T01:00:00+01:00,Restaurant,Satisfaisant,,"48.759363,2.699504",Restaurant,Autres,48.759363,2.699504
1041,CLASS PIZZA (PIZZA DU PARC DE THORIGNY),87965506600014,6 RUE CORNILLIOT,77400,THORIGNY SUR MARNE,15934047,2021-03-16T01:00:00+01:00,Restaurant,A améliorer,,"48.884126,2.71059",Restaurant,Autres,48.884126,2.71059
1429,ASSOCIATION FAMILLES RURALES DE LA BASSEE,34496344200035,"75, rue Simone Veil",77480,Bray-sur-Seine,21-025361-1,2021-03-25T01:00:00+01:00,Restauration collective,Satisfaisant,,"48.412399,3.242935",Restauration collective,Autres,48.412399,3.242935
1510,LES TOURNESOLS,45343243700102,2 RUE DES TOURNESOLS,77130,Cannes-Écluse,20-095773-1,2021-04-13T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.358806,2.983945",Restauration collective,Autres,48.358806,2.983945
1596,MAISON DE RETRAITE LA GUETTE,77568109100044,CHS DE LA GUETTE,77174,Villeneuve-Saint-Denis,21-017898-1,2021-03-02T01:00:00+01:00,Restauration collective,Satisfaisant,,"48.81668,2.791319",Restauration collective,Autres,48.81668,2.791319
1819,BONNY PARIS L'ESPRIT GOURMET,43020129300015,14 IMP DENIS PAPIN,77220,Gretz-Armainvilliers,21-039525-2,2021-07-27T02:00:00+02:00,Découpe de viande de boucherie,Satisfaisant,77215001,"48.729724,2.731027",,Viandes et produits carnés,48.729724,2.731027
1884,DELICE IKBAR,43122925100027,89 bis av du Marechal Leclerc,77460,Souppes-sur-Loing,21-045439-1,2021-05-27T02:00:00+02:00,Transformation de produits carnés,A améliorer,77458004,"48.188353,2.729258",,Viandes et produits carnés,48.188353,2.729258
2311,LE BILLOT DE MARIE,85275458900012,5 RTE DE BOULANCOURT,77760,Fromont,20-089334-1,2020-12-16T01:00:00+01:00,Boucherie-Charcuterie,Satisfaisant,,"48.254304,2.50024",Boucherie-Charcuterie,Autres,48.254304,2.50024
2895,COMPAGNIE GENERALE DE RESTAURATION,30359973200078,280 IMP ANITA CONTI,77127,Lieusaint,21-073445-1,2021-09-16T02:00:00+02:00,Restauration collective,Très satisfaisant,77251001,"48.617781,2.559554",Restauration collective,Autres,48.617781,2.559554
3037,MAS PAVILLON ROYAL,34106240402235,301 ALL DU PAVILLON ROYAL,77176,Nandy,21-007961-1,2021-02-01T01:00:00+01:00,Restauration collective,Satisfaisant,,"48.577831,2.556184",Restauration collective,Autres,48.577831,2.556184
3478,LES FROMAGES DE CHEVRE MORET EARL,40406746400010,"59, Grande Rue",77440,Tancrou,20-093962-1,2020-12-31T01:00:00+01:00,Transformation de lait ou produits laitiers,Satisfaisant,77460001,"49.002539,3.050823",,Lait et produits laitiers,49.002539,3.050823
3562,SOCIETE DE FABRICATION DES PRODUITS ALIMENTAIRES,34215277400036,35/37 RUE DE LAMIRAULT,77090,Collégien,21-002212-1,2021-01-08T01:00:00+01:00,Transformation de produits carnés,Très satisfaisant,77121002,"48.824813,2.677463",,Viandes et produits carnés,48.824813,2.677463
3598,SOCIETE DE FABRICATION DES PRODUITS ALIMENTAIRES,34215277400036,35/37 RUE DE LAMIRAULT,77090,Collégien,21-002213-3,2021-01-08T01:00:00+01:00,Transformation de produits de la pêche,Très satisfaisant,77121002,"48.824813,2.677463",,Produits de la mer et d'eau douce,48.824813,2.677463
3659,SOCIETE DE FABRICATION DES PRODUITS ALIMENTAIRES,34215277400036,35/37 RUE DE LAMIRAULT,77090,Collégien,21-002213-2,2021-01-08T01:00:00+01:00,"VH, VSM, préparation viandes volailles lagomorphes",Très satisfaisant,77121002,"48.824813,2.677463",,Viandes et produits carnés,48.824813,2.677463
3665,SOCIETE DE FABRICATION DES PRODUITS ALIMENTAIRES,34215277400036,35/37 RUE DE LAMIRAULT,77090,Collégien,21-002213-1,2021-01-08T01:00:00+01:00,"VH, VSM, préparation viandes boucherie",Très satisfaisant,77121002,"48.824813,2.677463",,Viandes et produits carnés,48.824813,2.677463
3750,LES REPAS LIVRES,49400077100027,"19, RUE DE BRETAGNE",77430,Champagne-sur-Seine,21-070321-1,2021-09-06T02:00:00+02:00,Traiteur,Satisfaisant,,"48.395583,2.795029",Traiteur,Autres,48.395583,2.795029
4357,PIRES VIEIRA RAMIRO,44977386000027,RUE DE LA NOUE,77320,Choisy-en-Brie,21-032829-1,2021-04-26T02:00:00+02:00,Chaîne d'abattage de volaille/lagomorphe/petit gibier,Satisfaisant,77116001,"48.759195,3.213694",,Abattoirs,48.759195,3.213694
4443,MJ AWAN,48347251000013,1 RUE DU PRESIDENT POINCARE,77220,Tournan-en-Brie,21-073117-1,2021-09-14T02:00:00+02:00,Restaurant,Satisfaisant,,"48.739474,2.762507",Restaurant,Autres,48.739474,2.762507
4465,RESIDENCE DES ROSEAUX,77572284600190,"4 bis, rue de la croix",77160,Chenoise-Cucharmoy,21-040546-1,2021-05-27T02:00:00+02:00,Restauration collective,Satisfaisant,77109001,"48.615402,3.186136",Restauration collective,Autres,48.615402,3.186136
4469,FONDATION APPRENTIS D'AUTEUIL,77568879901043,ROUTE DE PROVINS,77174,Villeneuve-le-Comte,21-020648-1,2021-03-11T01:00:00+01:00,Restauration collective,Satisfaisant,,"48.810503,2.832785",Restauration collective,Autres,48.810503,2.832785
4482,FROMAGERIE ROUZAIRE,78695092300049,1 RUE DE VILLE,77220,Tournan-en-Brie,21-065882-1,2021-06-08T02:00:00+02:00,Entreposage de produits laitiers,Très satisfaisant,77470004,"48.740711,2.772869",,Transport et entreposage de denrées alimentaires,48.740711,2.772869
4487,CUISINE CENTRALE,21770482400069,rue de la Fontaine des Noues,77130,Varennes-sur-Seine,21-036420-1,2021-05-07T02:00:00+02:00,Restauration collective,Très satisfaisant,77482001,"48.376115,2.936484",Restauration collective,Autres,48.376115,2.936484
4683,PAMI,49337294000020,ALL DU GRAND PAVOIS,77310,Saint-Fargeau-Ponthierry,21-011118-1,2021-02-12T01:00:00+01:00,Restauration collective,Satisfaisant,,"48.532872,2.539879",Restauration collective,Autres,48.532872,2.539879
4887,REF A53388,33415947210325,366 RUE MARC SEGUIN,77190,Dammarie-les-Lys,20-083571-1,2020-12-01T01:00:00+01:00,Restauration collective,Très satisfaisant,77152003,"48.512166,2.613994",Restauration collective,Autres,48.512166,2.613994
4996,LES AMIS DE KAREN ASSOCIATION,78457935100023,1 BIS ROUTE DE VALENCE,77670,Vernou-la-Celle-sur-Seine,21-044067-1,2021-06-07T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.400532,2.870583",Restauration collective,Autres,48.400532,2.870583
5123,FROMAGERIE GANOT,78494928100017,4 RUE CECILE DUMEZ,77640,Jouarre,21-004949-1,2021-01-19T01:00:00+01:00,Transformation de lait ou produits laitiers,Satisfaisant,77238003,"48.927118,3.125741",,Lait et produits laitiers,48.927118,3.125741
5145,FROMAGERIE LOISEAU,40217376900017,39 RUE CLOZEAU,77760,Achères-la-Forêt,21-065846-1,2021-07-08T02:00:00+02:00,Transformation de lait ou produits laitiers,Satisfaisant,77001001,"48.345432,2.564661",,Lait et produits laitiers,48.345432,2.564661
5189,FROMAGERIE GANOT,78494928100017,4 RUE CECILE DUMEZ,77640,Jouarre,21-004954-2,2021-01-19T01:00:00+01:00,Entreposage de produits laitiers,Satisfaisant,77238003,"48.927118,3.125741",,Transport et entreposage de denrées alimentaires,48.927118,3.125741
5213,FROMAGERIE GANOT,78494928100017,4 RUE CECILE DUMEZ,77640,Jouarre,21-004954-1,2021-01-19T01:00:00+01:00,Caves d'affinage,Satisfaisant,77238003,"48.927118,3.125741",,Lait et produits laitiers,48.927118,3.125741
5319,SOCIETE EXPLOITATION CLINIQUE DE TOURNAN,32711362700019,"2, rue Jules Lefèvre",77220,Tournan-en-Brie,21-042634-1,2021-05-11T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.742341,2.757855",Restauration collective,Autres,48.742341,2.757855
5426,TG VIANDES - Mr GOBEL,75185253400013,5 RUE DE SIANTE AUBIERGE,77515,Saint-Augustin,21-016128-2,2021-02-23T01:00:00+01:00,"VH, VSM, préparation viandes boucherie",Satisfaisant,77400002,"48.774804,3.02013",,Viandes et produits carnés,48.774804,3.02013
5450,FAM LES PRES NEUFS,32238805900154,FAM LES PRES NEUFS,77000,Vaux-le-Pénil,21-038181-1,2021-05-17T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.520115,2.692387",Restauration collective,Autres,48.520115,2.692387
5503,LA CROIX BLANCHE,80989182300019,LA CROIX BLANCHE,77220,Tournan-en-Brie,21-079490-1,2021-10-04T02:00:00+02:00,Restaurant,Satisfaisant,,"48.739096,2.773685",Restaurant,Autres,48.739096,2.773685
5875,BACCARA,35002545800026,"6, rue de Mirvaux",77970,Pécy,20-094996-1,2021-02-16T01:00:00+01:00,Restauration collective,Satisfaisant,,"48.653187,3.07958",Restauration collective,Autres,48.653187,3.07958
5966,DELHAYE THIERRY,32745607500024,14 RUE FREDERIC SARRAZIN,77550,Réau,21-020085-1,2021-03-10T01:00:00+01:00,Transformation de lait ou produits laitiers,Très satisfaisant,77384001,"48.609823,2.623404",,Lait et produits laitiers,48.609823,2.623404
6009,ASSOCIATION CLOS NOTRE DAME,34518472500017,RTE DE CHARTRETTE,77000,Livry-sur-Seine,21-040050-1,2021-05-25T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.513831,2.681089",Restauration collective,Autres,48.513831,2.681089
6140,CHARDON MELANIE,81498688100013,35 RUE DES GALACHES,77460,Chaintreaux,21-076686-1,2021-09-24T02:00:00+02:00,Commerce alimentaire,Très satisfaisant,,"48.182096,2.797972",,Autres,48.182096,2.797972
6182,ASSOCIATION PERSONNES AGEES LES BRUYERES,39830264600086,25 RUE DE NOGENT,77560,Villiers-Saint-Georges,21-002605-1,2021-01-08T01:00:00+01:00,Restauration collective,Satisfaisant,,"48.646776,3.41011",Restauration collective,Autres,48.646776,3.41011
6199,ABATTOIR YOUSSFI,82923704900012,183 QUAI VOLTAIRE,77190,Dammarie-les-Lys,21-031129-1,2021-04-13T02:00:00+02:00,Chaîne d'abattage de volaille/lagomorphe/petit gibier,Très satisfaisant,77152001,"48.532844,2.64271",,Abattoirs,48.532844,2.64271
6415,ECOLE ELEMENT ELISE ET CELESTIN FREINET,21770495600119,RUE JOSEPH LESURQUES,77240,Vert-Saint-Denis,21-076852-1,2021-09-24T02:00:00+02:00,Restauration collective,Satisfaisant,77495002,"48.562364,2.616953",Restauration collective,Autres,48.562364,2.616953
6519,OGEC GASNIER GUY STE BATHILDE,77570279800015,28 rue du Tir,77500,Chelles,21-042429-1,2021-06-01T02:00:00+02:00,Restauration collective,Satisfaisant,77108001,"48.88934,2.59631",Restauration collective,Autres,48.88934,2.59631
6665,L'AUTHENTIQUE,84047042100016,4 RUE JULES FERRY,77360,Vaires-sur-Marne,20-094789-1,2021-02-05T01:00:00+01:00,Restaurant,Satisfaisant,,"48.873388,2.637027",Restaurant,Autres,48.873388,2.637027
6868,MAIRIE COMMUNE PROVINS,21770379200010,21 rue Valentin Abeille,77160,Provins,21-048983-1,2021-06-22T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.561906,3.296876",Restauration collective,Autres,48.561906,3.296876
7004,SOCIETE FRANCAISE DE RESTAURATION ET SERVICES,33825313111800,69 RUE DES BERCHERES,77340,Pontault-Combault,21-000450-1,2021-01-05T01:00:00+01:00,Restauration collective,Satisfaisant,77373005,"48.785371,2.609454",Restauration collective,Autres,48.785371,2.609454
7299,BOUCHERIE DU CENTRE,49103431000012,46 PLACE DU 14 JUILLET 1789,77550,Moissy-Cramayel,21-074163-1,2021-09-14T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,"48.628258,2.590422",Boucherie-Charcuterie,Autres,48.628258,2.590422
7466,LES VIANDES DU LYS,78685046100025,252 RUE MARC SEGUIN,77190,Dammarie-les-Lys,21-039515-1,2021-05-07T02:00:00+02:00,Transformation de produits carnés,Satisfaisant,77152011,"48.51164,2.612586",,Viandes et produits carnés,48.51164,2.612586
7469,LES VIANDES DU LYS,78685046100025,252 RUE MARC SEGUIN,77190,Dammarie-les-Lys,21-039515-3,2021-05-07T02:00:00+02:00,Découpe de viande de boucherie,Satisfaisant,77152011,"48.51164,2.612586",,Viandes et produits carnés,48.51164,2.612586
7474,PIZZERIA FAVINA,38536956600026,2 rue du Moulin,77220,Tournan-en-Brie,21-065259-1,2021-07-15T02:00:00+02:00,Restaurant,Satisfaisant,,"48.739343,2.763807",Restaurant,Autres,48.739343,2.763807
