,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
23,INTERMARCHE (FREDEC),AV GENERAL LECLERC,91190,GIF SUR YVETTE,16051490,2021-06-22T02:00:00+02:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.704444,2.116187
41,MC DONALD'S (VIBO),23 AV SADI CARNOT,91160,SAULX LES CHARTREUX,16241280,2021-11-19T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.672988,2.278845
46,CHEZ TRING,131 RUE DE PARIS,91120,PALAISEAU,16025737,2021-05-18T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,Boucherie-Charcuterie,48.712869,2.244052
58,THERY CHRISTINE,26 R PASTEUR,91710,VERT LE PETIT,16015057,2021-05-26T02:00:00+02:00,_,Satisfaisant,,,48.546767,2.364934
66,BARRERO TRAITEUR,33 R DENIS PAPIN,91240,SAINT MICHEL SUR ORGE,16026765,2021-06-04T02:00:00+02:00,Traiteur,Satisfaisant,,Traiteur,48.626299,2.312609
86,MC DO (PIMM),RTE DE LA NOUE,91190,GIF SUR YVETTE,16036495,2021-06-10T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.701663,2.100917
98,S.N.C. RESTO MONTLHERY - LEON DE BRUXELLES,113 ROUTE DE MONTLHERY,91310,MONTLHERY,16126813,2021-08-16T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.634962,2.287348
115,PIZZA PRESTO (GAYA),9 BD ABEL CORNATON,91290,ARPAJON,15960545,2021-04-06T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.587253,2.247824
225,AUX DELICES DE PORT SUD (AUGUSTO VAZ PHILIPPE),CENTRE COMMERCIAL PORT SUD,91650,BREUILLET,15955195,2021-04-01T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.572917,2.189796
226,ALLO SUSHI (LAARADH MABROUK),7 RUE AUGUSTIN BELLARD,91590,LA FERTE ALAIS,16306783,2022-01-11T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,48.483221,2.346947
232,BOULANGERIE MARIE BLACHERE (COTE BOULANGE),66 RTE DE MONTLHERY,91400,ORSAY,16073434,2021-07-06T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.686789,2.184771
245,AUX DELICES DU FOURNIL (AUX DELICES DU FOURNIL),29 RUE DU MARTROY,91610,BALLANCOURT SUR ESSONNE,16226027,2021-11-05T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.524649,2.381723
269,LES COLOMBES DE BELLEJAME (BSF),97 RUE ALFRED DUBOIS,91460,MARCOUSSIS,16316258,2022-01-21T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.639844,2.241435
272,AU DUC D ORSAY (BOULANGERIE PATISSERIE MILLET),14 RUE BOURSIER,91400,ORSAY,16040042,2021-06-14T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.697991,2.187763
275,TAJ PALACE (BALA JI),114 RUE DE SAINTE GENEVIEVE,91240,SAINT MICHEL SUR ORGE,16028988,2021-06-07T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.63863,2.318984
