,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
0,L'ARCHE OISE,CAT-FOYER-MAS FORESTIERE,60350,Trosly-Breuil,22-016048-1,2022-03-04T01:00:00+01:00,Restauration collective,Très satisfaisant,,Restauration collective,49.395887,2.969693
1,LE COMPTOIR DES SAISONS,8 PL DE L'HOTEL DE VILLE,60360,Crèvecoeur-le-Grand,21-104720-1,2021-12-14T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,49.60823,2.076602
2,LES 2 AMIS,719 RUE DE PARIS,60520,La Chapelle-en-Serval,21-055481-1,2021-07-08T02:00:00+02:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,49.126107,2.533497
3,REF A55263,385 AV LOUIS ARAGON,60140,Liancourt,22-018603-1,2022-02-25T01:00:00+01:00,Restauration collective,Très satisfaisant,60360002.0,Restauration collective,49.330849,2.457046
4,LA TABLE GOURMANDE,11 RUE DU GENERAL LECLERC,60200,Compiègne,22-000780-1,2022-01-07T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,49.418696000000004,2.823813
5,MAIRIE COMMUNE DE BALAGNY SUR THERAIN,4 rue Marcel Oudin,60250,Balagny-sur-Thérain,21-072212-1,2021-09-09T02:00:00+02:00,Restauration collective,Très satisfaisant,,Restauration collective,49.298103000000005,2.334506
6,COLLEGE DE MARLY,74 AVENUE MONTESQUIEU,60170,Ribécourt-Dreslincourt,22-016166-1,2022-03-04T01:00:00+01:00,Restauration collective,Très satisfaisant,,Restauration collective,49.507956,2.922857
7,SOCIETE BEAUVAISIENNE DE RESTAURATION,HAMEAU DE CAMPDEVILLE,60112,Milly-sur-Thérain,21-101467-1,2021-12-07T01:00:00+01:00,Restauration collective,Satisfaisant,60403001.0,Restauration collective,49.487433,2.026799
8,INTERLOTS,RUE JEAN MONNET,60180,Nogent-sur-Oise,22-008550-1,2022-01-25T01:00:00+01:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,49.286666,2.460999
9,RESIDENCE LES MARAIS,RUE DES ECOLES,60280,Margny-lès-Compiègne,21-076588-1,2021-09-23T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,49.421966999999995,2.811859
10,LEFEBVRE BRUNO,8 B PL MAURICE SEGONDS,60930,Bailleul-sur-Thérain,22-004854-1,2022-01-19T01:00:00+01:00,Boucherie-Charcuterie,Satisfaisant,,Boucherie-Charcuterie,49.383137,2.223923
11,LE FLY KEBAB,9 PLACE DE VERDUN,60850,Saint-Germer-de-Fly,22-000922-1,2022-01-06T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.442509,1.78053
12,PARIS KABOUL MARKET,114 RUE HENRI PAUQUET,60100,Creil,22-000945-1,2022-01-06T01:00:00+01:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,49.266558,2.477801
