ndeg_auto;dep;nom;region_administrative;adresse;code_insee;commune;situation_geographique;ecrans;fauteuils;semaines_d_activite;seances;entrees;entrees_2015;evolution_entrees;tranche_d_entrees;proprietaire;programmateur;ae;categorie_art_et_essai;label_art_et_essai;genre;multiplexe;nombre_de_films_programmes;nombre_de_films_inedits;nombre_de_films_en_semaine_1;pdm_en_entrees_des_films_francais;pdm_en_entrees_des_films_americains;pdm_en_entrees_des_films_europeens;pdm_en_entrees_des_autres_films;films_art_et_essai;part_des_seances_de_films_art_et_essai;pdm_en_entrees_des_films_art_et_essai;geo
12.0;75;GEORGE V;ILE-DE-FRANCE;146 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;Paris;11;1666;53;24546;510639;538179;5.1;De 450 à 700 000 entrées;UGC SAS;UGC;non;non classé;;fixe;oui;268;229;181;47.6396387928;38.2046566827;12.0038149626;2.15188956193;104;30.2098187003;25.0996335834;48.873073,2.298394
31.0;75;UGC NORMANDIE;ILE-DE-FRANCE;116 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;Paris;4;1610;53;8107;256387;283661;9.6;De 200 à 300 000 entrées;UGC SAS;UGC;non;non classé;;fixe;non;104;99;84;32.425142931;48.6320617591;15.8520139539;3.09078135599;37;43.3992583436;32.5979521302;48.872265,2.300938
35.0;75;BALZAC;ILE-DE-FRANCE;1 RUE BALZAC;75108;Paris 8e Arrondissement;Paris;3;590;52;4694;116603;124285;6.2;De 100 à 150 000 entrées;CINELBA;NC;oui;catégorie A;RDPR;fixe;non;168;60;50;61.3102734409;15.512809454;12.1219701544;11.0549469507;123;90.0042716788;82.5153109635;48.872431,2.299525
54.0;75;GAUMONT CHAMPS ELYSEES MARIGNAN;ILE-DE-FRANCE;27/33 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;Paris;6;1701;53;12419;326707;359682;9.2;De 300 à 450 000 entrées;LES CINEMAS GAUMONT PATHE;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;non;137;108;101;22.1379215209;61.6828231399;13.4720532725;2.70720206669;22;11.2530512612;11.7721749163;48.869654,2.306873
55.0;75;ELYSEES LINCOLN;ILE-DE-FRANCE;14 RUE LINCOLN;75108;Paris 8e Arrondissement;Paris;3;448;53;5076;57077;58810;2.9;De 50 à 80 000 entrées;STUDIO DU DRAGON;NC;oui;catégorie A;RD;fixe;non;142;84;72;43.9920712882;14.7645944429;25.1543642997;16.0889699691;92;86.3708086785;81.4727757508;48.870512,2.303157
202.0;75;GAUMONT OPERA  FRANCAIS;ILE-DE-FRANCE;38 BD DES ITALIENS;75109;Paris 9e Arrondissement;Paris;5;994;53;11084;240660;261901;8.1;De 200 à 300 000 entrées;LES CINEMAS GAUMONT PATHE;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;non;183;171;101;77.1968752597;14.3546912657;6.86694922297;1.58148425164;74;38.7766149405;32.2612814759;48.871048,2.334386
204.0;75;UGC OPERA;ILE-DE-FRANCE;32 BD DES ITALIENS;75109;Paris 9e Arrondissement;Paris;4;760;53;7741;181750;184287;1.4;De 150 à 200 000 entrées;UGC SAS;UGC;non;non classé;;fixe;non;120;79;78;39.8090784044;47.8277854195;8.43246217331;3.93067400275;56;36.0289368299;37.5543328748;48.871332,2.335302
214.0;75;GAUMONT OPERA CAPUCINES;ILE-DE-FRANCE;2/4 BOULEVARD DES CAPUCINES;75109;Paris 9e Arrondissement;Paris;7;2169;53;15119;537993;551031;2.4;De 450 à 700 000 entrées;FILMS PARAMOUNT;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;non;247;218;153;21.8794290294;62.0673298535;15.4578265551;0.595414561931;78;13.6812600107;14.8092397323;48.871044,2.33361
301.0;75;MAX LINDER;ILE-DE-FRANCE;24 BD POISSONNIERE;75109;Paris 9e Arrondissement;Paris;1;591;53;1634;116133;95508;21.6;De 100 à 150 000 entrées;PARAFRANCE COMMUNICATION;NC;non;non classé;;fixe;non;123;29;16;3.70722007757;70.9011437835;18.2593352262;7.1323009127;64;49.7822028625;44.3334796278;48.871363,2.344886
311.0;75;GRAND REX;ILE-DE-FRANCE;5 BD POISSONNIERE;75102;Paris 2e Arrondissement;Paris;7;4274;53;13269;633285;601203;5.3;De 450 à 700 000 entrées;THEATRE LE REX;UGC;non;non classé;;fixe;non;151;108;105;11.2516923194;76.9760839928;8.33497891808;3.43724476981;7;3.81448749906;2.51245246893;48.86872,2.347608
321.0;75;GAUMONT OPERA PREMIER;ILE-DE-FRANCE;32 RUE LOUIS LEGRAND;75102;Paris 2e Arrondissement;Paris;6;1138;53;12393;309708;347282;10.8;De 300 à 450 000 entrées;GAUMONT;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;non;200;189;139;37.2694179853;39.488754736;14.6790828076;8.56274447104;110;64.390637611;58.5225309031;48.870632,2.334338
451.0;75;UGC MONTPARNASSE;ILE-DE-FRANCE;83 BD DU MONTPARNASSE;75106;Paris 6e Arrondissement;Paris;7;1592;53;13517;474927;524989;9.5;De 450 à 700 000 entrées;UGC SAS;UGC;non;non classé;;fixe;non;145;120;118;37.1997194646;47.7372773144;11.7025472018;3.36045601925;38;14.8507517962;17.2780817859;48.84351,2.325646
481.0;75;GAUMONT PARNASSE;ILE-DE-FRANCE;3 RUE D'ODESSA;75114;Paris 14e Arrondissement;Paris;15;2876;53;32784;974363;1100562;11.5;De 700 000 à 1 million d'entrées;PARAFRANCE COMMUNICATION;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;oui;327;294;286;37.2335932038;46.2135302689;13.2320151853;3.32086134196;103;26.7955039662;24.6703769378;48.843074,2.324424
483.0;75;ENTREPOT;ILE-DE-FRANCE;7 ET 9 RUE FRANCIS DE PRESSENSE;75114;Paris 14e Arrondissement;Paris;3;250;53;5094;40039;41084;2.5;De 40 à 50 000 entrées;MANUFACTURE A FILMS;NC;oui;catégorie A;RDJPPR;fixe;non;287;106;11;65.1063461372;12.6201264033;13.3675795792;8.90594788029;208;80.8005003127;79.9399728724;48.83393,2.31652
531.0;75;MK2 BEAUBOURG;ILE-DE-FRANCE;50 RUE RAMBUTEAU;75103;Paris 3e Arrondissement;Paris;6;557;53;13998;308078;317950;3.1;De 300 à 450 000 entrées;MK2 CINEMAS;MK2;oui;catégorie A;RDPR;fixe;non;233;122;107;55.6732249383;17.8252272827;13.8205384722;12.6810093069;169;91.9102450546;91.452352321;48.861555,2.352217
612.0;75;UGC MAILLOT;ILE-DE-FRANCE;PALAIS CONGRES PL PORTE MAILLOT;75117;Paris 17e Arrondissement;Paris;4;764;53;7274;163143;186311;12.4;De 150 à 200 000 entrées;PARAFRANCE COMMUNICATION;UGC;non;non classé;;fixe;non;158;117;86;59.760173837;21.8367384627;13.3252488443;5.07783885602;99;47.9484336013;45.1822395676;48.878512,2.282965
