Marque,Janvier,février,mars,avril,mai,juin,juillet,août,septembre,octobre,novembre,décembre,Total
CITROEN,9234,11576,10805,9432,9155,11291,8137,6353,9812,10006,9027,10747,115575
DS,1013,1238,1401,1265,1280,1628,1183,810,1310,1092,915,1145,14280
PEUGEOT,19284,22379,23696,17893,18673,21710,15885,11748,18873,18791,15670,16398,221000
OPEL,2798,2171,3297,2762,2633,3477,3139,2189,2849,2529,2062,2383,32289
RENAULT,17726,24446,29401,26318,22255,32700,16246,13108,23559,24882,25487,29402,285530
DACIA,9975,12815,13286,12153,11913,16451,11115,8259,12154,10946,9507,10731,139305
ALPINE,293,637,522,589,332,616,252,212,384,381,385,778,5381
ABARTH,29,96,94,34,40,96,16,16,35,30,15,63,564
ALFA ROMEO,656,643,789,498,408,548,410,263,490,459,397,641,6202
AUDI,3227,3504,4320,3373,3548,5275,3222,2563,4439,4340,4912,6033,48756
B.M.W.,4164,5445,4867,4753,4161,6285,5301,3559,4226,4466,5478,8199,60904
BYD,366,602,659,2064,938,1011,805,1338,1040,1020,1139,2551,13533
CUPRA,1054,1847,2026,2230,1824,2403,1591,1231,1876,2339,1904,2369,22694
FERRARI,21,49,20,30,35,27,44,10,30,31,0,0,297
FIAT,1726,1598,2118,1017,1460,1819,1737,1082,1819,2136,1664,2079,20255
FORD,2931,3135,3392,3211,3121,4706,2820,1907,3066,2862,2886,4284,38321
HONDA,341,425,490,477,362,389,404,235,450,443,384,663,5063
HYUNDAI,3426,3622,3227,4107,3087,3501,3738,3552,3238,3900,3684,6539,45621
JAGUAR,0,2,0,0,0,0,0,0,0,0,0,0,2
JEEP,801,869,1022,812,754,1153,690,548,815,780,685,811,9740
KIA,2496,2618,2555,3294,2418,3133,3202,2365,2204,3250,2530,3923,33988
LANCIA,0,0,116,73,29,75,32,24,61,64,68,147,689
LAND ROVER,1,11,0,0,0,0,0,0,0,0,90,343,445
LEAPMOTOR,174,218,294,287,187,243,219,204,431,418,389,497,3561
LEXUS,754,445,437,549,538,521,469,255,439,544,415,784,6150
LYNK CO,13,7,8,16,194,368,17,17,21,8,26,31,726
M.G.,1539,1949,2827,1830,2576,2398,2369,1627,3711,3046,2869,6988,33729
MASERATI,8,11,5,3,9,12,18,7,7,16,0,0,96
MAZDA,394,821,921,499,404,855,464,378,868,505,576,1669,8354
MERCEDES,1209,2528,3612,4505,3154,5359,3369,2249,4345,3676,4463,6686,45155
MINI,1352,2270,1919,2253,1462,2544,2249,1555,2920,2342,2451,2985,26302
MITSUBISHI,86,85,139,130,92,335,621,31,47,71,60,654,2351
NISSAN,1560,3131,2486,2467,2036,2560,2111,1120,1994,2571,2325,4215,28576
PORSCHE,279,329,268,317,273,475,270,128,272,353,338,547,3849
SEAT,1121,1300,1431,1386,1234,1831,1109,932,1376,1415,1138,1587,15860
SKODA,2848,3593,4710,4334,4019,5084,3904,2890,4628,4580,4650,5419,50659
SKYWORTH,0,0,0,0,0,0,0,0,0,0,140,31,171
SMART,134,58,74,83,47,98,66,38,52,95,70,114,929
SUZUKI,1698,1812,2082,1839,1313,1703,1266,1058,1787,1998,1481,2136,20173
TESLA,1141,2395,3157,863,721,3646,1307,1331,5584,1782,1591,1942,25460
TOYOTA,10497,9641,9728,10925,7243,9886,7940,6459,8564,9306,9368,10515,110072
VOLKSWAGEN,7443,10203,10153,8662,8815,11547,7431,5586,8975,9708,10058,12379,110960
VOLVO,465,715,1208,979,833,1200,740,388,1160,1509,1252,2618,13067
XPENG,0,0,199,298,255,391,338,148,183,342,269,583,3006
AUTRES,396,329,81,87,88,153,130,77,260,482,109,318,2510
Total,114673,141568,153842,138697,123919,169503,116376,87850,140354,139514,132927,172927,1632150
