,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
7,INTERMARCHE (VIRODIS),38 AV LE FOLL,94290,VILLENEUVE LE ROI,15968279,2021-04-14T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.730573,2.426559
35,LIDL,27 AVENUE DE FONTAINEBLEAU,94270,LE KREMLIN BICETRE,16299368,2021-12-30T01:00:00+01:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.814071,2.361275
43,L'Olympique,170 Rue Jean Jaurès,94700,MAISONS ALFORT,16132885,2021-08-20T02:00:00+02:00,_,Satisfaisant,,,48.797128,2.43321
48,LIDL,AV JULIEN DURANTON,94460,VALENTON,16117444,2021-08-06T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.764666,2.447723
52,FABRE ET LOUE BOULANGERIE PATISSERIE (FABRE MICHEL),168 R VAILLANT COUTURIER,94140,ALFORTVILLE,16197589,2021-10-12T02:00:00+02:00,Boulangerie-Pâtisserie,Très satisfaisant,,Boulangerie-Pâtisserie,48.805057,2.419202
84,MONSIEUR LAROUSSI BEN MIMOUN,25 AVENUE LE FOLL,94290,VILLENEUVE LE ROI,16183809,2021-09-29T02:00:00+02:00,Alimentation générale,A améliorer,,Alimentation générale,48.727533,2.440363
87,LE PLESSIS GOURMAND (SARL LEGER),12 AV DU GENERAL DE GAULLE,94420,LE PLESSIS TREVISE,16152912,2021-09-08T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,Boucherie-Charcuterie,48.809557,2.574708
90,LES TRESORS SUCRES (COUP DE FOOD),5 AV DU BOULODROME,94270,LE KREMLIN BICETRE,16300236,2021-11-26T01:00:00+01:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.81467,2.364109
99,MC DONALD'S (L I L Y),73 R DE PARIS,94220,CHARENTON LE PONT,16148808,2021-09-06T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.821109,2.414259
106,LE VERGER DU BAC,30 RUE DU BAC,94480,ABLON SUR SEINE,16183898,2021-09-29T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.723641,2.418631
119,BOUDABBOUS KAMEL,128B R JEAN JAURES,94700,MAISONS ALFORT,16329881,2022-02-07T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.795042,2.433739
139,AUREMA,7 RUE DE LA STATION,94170,LE PERREUX SUR MARNE,15986168,2021-04-22T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.843128,2.504216
155,MANDRES SERVICES BANGAIZ (MONSIEUR NAJET BENGAIZ),13 RUE DU GENERAL LECLERC,94520,MANDRES LES ROSES,16115235,2021-07-29T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.701932,2.543593
160,ADBH,32 AV CARNOT,94190,VILLENEUVE SAINT GEORGES,16217044,2021-10-21T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.732953,2.449939
161,DOUCEURS ET PLAISIRS DE VINCENNES,83 R DE FONTENAY,94300,VINCENNES,15949744,2021-03-29T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.848225,2.437003
189,FRANPRIX (OLMANO),56B AV MAL DE LATTRE DE TASSIGNY,94410,SAINT MAURICE,16300648,2022-01-03T01:00:00+01:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.821196,2.419939
200,CARREFOUR CITY (ALIADIS),46 AV MAL DE LATTRE DE TASSIGNY,94410,SAINT MAURICE,16300780,2022-01-03T01:00:00+01:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.821706,2.419974
214,VSGK,RUE DE LA SABLONNIERE,94460,VALENTON,16035192,2021-06-08T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.750509,2.454156
215,LE MARCHE FRANPRIX (SENTHURAN),85 AV DU PRESIDENT JF KENNEDY,94190,VILLENEUVE SAINT GEORGES,15968199,2021-04-14T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.735358,2.465209
224,AUX GOURMETS DE SAINT MAURICE,40 AV MAL DE LATTRE DE TASSIGNY,94410,SAINT MAURICE,16162466,2021-09-16T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.821427,2.419954
233,BOULANGERIE PAO QUENTE,2 RUE DES CHAMPS ELYSEES,94250,GENTILLY,16182982,2021-09-28T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.816269,2.339421
266,LE FOURNIL DE VALENTON,22 RUE DE LA SABLONNIERE,94460,VALENTON,16035210,2021-06-08T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.750817,2.454296
270,VALENTON VIANDES ET VICTUAILLES,16 RUE DE LA SABLONNIERE,94460,VALENTON,16034311,2021-06-08T02:00:00+02:00,Boucherie-Charcuterie,A améliorer,,Boucherie-Charcuterie,48.751278,2.454396
280,CODEAL VINCENNES,66 RUE DE FONTENAY,94300,VINCENNES,15949823,2021-03-29T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.84788,2.441356
291,CLOJUL,1 IMP SAINT GEORGES,94190,VILLENEUVE SAINT GEORGES,16133384,2021-08-19T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.735122,2.459223
303,LA GRANGE AUX SAVEURS (MONSIEUR PHILIPPE TANTIN),"19, RUE DU GENERAL LECLERC",94520,MANDRES LES ROSES,16108840,2021-07-29T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.70163,2.54317
318,LA SUPERETTE DE LA GARE,5 PLACE DE LA GARE,94290,VILLENEUVE LE ROI,16198369,2021-10-12T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.739588,2.425459
328,LES GOURMANDISES,201 AV PIERRE BROSSOLETTE,94170,LE PERREUX SUR MARNE,16330320,2022-02-07T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.834328,2.514852
378,SARL CAESAR,2 AV CHARLES DE GAULLE,94100,SAINT MAUR DES FOSSES,16304277,2022-01-07T01:00:00+01:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.804409,2.485443
397,S C M O A,61 RUE DE PARIS,94220,CHARENTON LE PONT,16069360,2021-07-05T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.820333,2.415019
418,BOULANGERIE HAOUAS,1 RUE DE LORRAINE,94320,THIAIS,16274989,2021-12-10T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.755928,2.398599
440,SAS BOULANGERIE LIBERTE,137 RUE DE PARIS,94220,CHARENTON LE PONT,16050417,2021-06-22T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.825941,2.406746
446,G20 (CRETTEDISTRI),RUE HENRI CRETTE,94550,CHEVILLY LARUE,16119997,2021-08-10T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.772752,2.354286
462,DIANYVES,35 RUE DE FALKIRK,94000,CRETEIL,16274930,2021-12-06T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.771492,2.460468
499,LE FOURNIL ANDD,125 RUE DE PARIS,94220,CHARENTON LE PONT,16052392,2021-06-23T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.824743,2.40842
513,LA GENTILLAISE,30 AV JEAN JAURES,94250,GENTILLY,16198409,2021-10-13T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.812853,2.351425
517,B&O,49 RUE DOCTEUR ROUX,94600,CHOISY LE ROI,16315172,2022-01-19T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.77092,2.403184
541,LE BLE D OR SARL,12 AVENUE ANATOLE FRANCE,94400,VITRY SUR SEINE,16118847,2021-08-09T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.801879,2.403063
