Season,Episode Number,Number in Season,Episode Name,Director,Writer,Original Air Date,US viewers (million),Runtime (mins),IMDB votes,Imdb Rating,Notable Death Count
1,1,1,Winter Is Coming,Tim Van Patten,David Benioff & D. B. Weiss,"April 17, 2011",2.22,62,27685,9,4
1,2,2,The Kingsroad,Tim Van Patten,David Benioff & D. B. Weiss,"April 24, 2011",2.2,56,21256,8.8,3
1,3,3,Lord Snow,Brian Kirk,David Benioff & D. B. Weiss,"May 1, 2011",2.44,58,20090,8.7,0
1,4,4,"Cripples, Bastards, and Broken Things",Brian Kirk,Bryan Cogman,"May 8, 2011",2.45,56,19123,8.8,1
1,5,5,The Wolf and the Lion,Brian Kirk,David Benioff & D. B. Weiss,"May 15, 2011",2.58,55,20062,9.1,5
1,6,6,A Golden Crown,Daniel Minahan,Story by : Jane Espenson and David Benioff & D. B. Weiss ,"May 22, 2011",2.44,53,19908,9.2,4
1,7,7,You Win or You Die,Daniel Minahan,David Benioff & D. B. Weiss,"May 29, 2011",2.4,58,20405,9.3,2
1,8,8,The Pointy End,Daniel Minahan,George R. R. Martin,"June 5, 2011",2.72,59,18688,9.1,7
1,9,9,Baelor,Alan Taylor,David Benioff & D. B. Weiss,"June 12, 2011",2.66,57,26364,9.6,2
1,10,10,Fire and Blood,Alan Taylor,David Benioff & D. B. Weiss,"June 19, 2011",3.04,53,23354,9.5,3
2,11,1,The North Remembers,Alan Taylor,David Benioff & D. B. Weiss,"April 1, 2012",3.86,53,18688,8.9,2
2,12,2,The Night Lands,Alan Taylor,David Benioff & D. B. Weiss,"April 8, 2012",3.76,54,17545,8.6,1
2,13,3,What Is Dead May Never Die,Alik Sakharov,Bryan Cogman,"April 15, 2012",3.77,53,17365,8.9,2
2,14,4,Garden of Bones,David Petrarca,Vanessa Taylor,"April 22, 2012",3.65,51,16706,8.9,4
2,15,5,The Ghost of Harrenhal,David Petrarca,David Benioff & D. B. Weiss,"April 29, 2012",3.9,55,16846,8.9,4
2,16,6,The Old Gods and the New,David Nutter,Vanessa Taylor,"May 6, 2012",3.88,54,17799,9.1,5
2,17,7,A Man Without Honor,David Nutter,David Benioff & D. B. Weiss,"May 13, 2012",3.69,56,17256,9,5
2,18,8,The Prince of Winterfell,Alan Taylor,David Benioff & D. B. Weiss,"May 20, 2012",3.86,54,16975,8.9,3
2,19,9,Blackwater,Neil Marshall,George R. R. Martin,"May 27, 2012",3.38,55,30368,9.7,2
2,20,10,Valar Morghulis,Alan Taylor,David Benioff & D. B. Weiss,"June 3, 2012",4.2,64,21557,9.4,6
3,21,1,Valar Dohaeris,Daniel Minahan,David Benioff & D. B. Weiss,"March 31, 2013",4.37,55,19010,8.9,0
3,22,2,"Dark Wings, Dark Words",Daniel Minahan,Vanessa Taylor,"April 7, 2013",4.27,56,16855,8.7,1
3,23,3,Walk of Punishment,David Benioff,David Benioff & D. B. Weiss,"April 14, 2013",4.72,56,17072,8.9,1
3,24,4,And Now His Watch Is Ended,Alex Graves,David Benioff & D. B. Weiss,"April 21, 2013",4.87,53,23833,9.6,5
3,25,5,Kissed by Fire,Alex Graves,Bryan Cogman,"April 28, 2013",5.35,57,17309,9,4
3,26,6,The Climb,Alik Sakharov,David Benioff & D. B. Weiss,"May 5, 2013",5.5,53,17167,8.9,1
3,27,7,The Bear and the Maiden Fair,Michelle MacLaren,George R. R. Martin,"May 12, 2013",4.84,58,16496,8.8,0
3,28,8,Second Sons,Michelle MacLaren,David Benioff & D. B. Weiss,"May 19, 2013",5.13,56,17121,9.1,3
3,29,9,The Rains of Castamere,David Nutter,David Benioff & D. B. Weiss,"June 2, 2013",5.22,51,68630,9.9,8
3,30,10,Mhysa,David Nutter,David Benioff & D. B. Weiss,"June 9, 2013",5.39,63,19573,9.2,1
4,31,1,Two Swords,D. B. Weiss,David Benioff & D. B. Weiss,"April 6, 2014",6.64,58,23379,9.1,2
4,32,2,The Lion and the Rose,Alex Graves,George R. R. Martin,"April 13, 2014",6.31,52,37772,9.7,3
4,33,3,Breaker of Chains,Alex Graves,David Benioff & D. B. Weiss,"April 20, 2014",6.59,57,18948,8.9,4
4,34,4,Oathkeeper,Michelle MacLaren,Bryan Cogman,"April 27, 2014",6.95,55,18075,8.9,1
4,35,5,First of His Name,Michelle MacLaren,David Benioff & D. B. Weiss,"May 4, 2014",7.16,53,17414,8.8,3
4,36,6,The Laws of Gods and Men,Alik Sakharov,Bryan Cogman,"May 11, 2014",6.4,51,32906,9.7,0
4,37,7,Mockingbird,Alik Sakharov,David Benioff & D. B. Weiss,"May 18, 2014",7.2,51,19693,9.2,4
4,38,8,The Mountain and the Viper,Alex Graves,David Benioff & D. B. Weiss,"June 1, 2014",7.17,52,36547,9.7,6
4,39,9,The Watchers on the Wall,Neil Marshall,David Benioff & D. B. Weiss,"June 8, 2014",6.95,51,30073,9.6,10
4,40,10,The Children,Alex Graves,David Benioff & D. B. Weiss,"June 15, 2014",7.09,65,29933,9.7,4
5,41,1,The Wars to Come,Michael Slovis,David Benioff & D. B. Weiss,"April 12, 2015",8,53,20355,8.6,2
5,42,2,The House of Black and White,Michael Slovis,David Benioff & D. B. Weiss,"April 19, 2015",6.81,56,17318,8.6,3
