,Session,Établissement,Filière de formation détaillée,Effectif total des candidats pour une formation,Dont effectif des candidates pour une formation,% d’admis dont filles,Capacité de l’établissement par formation,% d’admis néo bacheliers,Effectif des admis néo bacheliers,Effectif des admis néo bacheliers généraux,Effectif des admis néo bacheliers technologiques,Effectif des admis néo bacheliers professionnels,Effectif des autres candidats admis,Effectif des admis néo bacheliers généraux ayant eu une mention au bac,Effectif des admis néo bacheliers technologiques ayant eu une mention au bac,Effectif des admis néo bacheliers professionnels ayant eu une mention au bac,Total des effectifs ayant eu une mention,Dont effectif des admis néo bacheliers sans mention au bac,Dont effectif des admis néo bacheliers avec mention Assez Bien au bac,Dont effectif des admis néo bacheliers avec mention Bien au bac,Dont effectif des admis néo bacheliers avec mention Très Bien au bac,Académie de l’établissement
0,2021,I.U.T de Sénart/Fontainebleau - Site Sénart - UPEC,Métiers du multimédia et de l'internet,1989,670,47.6953125,110.0,76.09375,83,34,47,2,26,32,39,2,73,10,43,25,5,Créteil
1,2021,I.U.T de Béziers,Métiers du multimédia et de l'internet,1453,473,46.6953125,61.0,70.0,42,23,19,0,18,20,18,0,38,4,22,13,2,Montpellier
2,2021,IUT Bordeaux Montaigne,Métiers du multimédia et de l'internet,1262,383,46.0,50.0,68.0,34,15,18,1,16,15,15,1,31,3,15,11,5,Bordeaux
3,2021,I.U.T Nancy-Charlemagne - Université de Lorraine,Métiers du multimédia et de l'internet,1117,319,44.59375,52.0,80.390625,45,23,21,1,11,18,20,1,39,6,17,20,2,Nancy-Metz
4,2021,IUT 1 GRENOBLE,Métiers du multimédia et de l'internet,2890,878,43.5,109.0,82.390625,89,44,45,0,19,44,45,0,89,0,40,43,6,Grenoble
5,2021,I.U.T de Cergy-Pontoise - Site de Sarcelles,Métiers du multimédia et de l'internet,2769,852,42.8984375,56.0,83.6875,41,15,24,2,8,14,23,2,39,2,30,8,1,Versailles
6,2021,I.U.T. de Bobigny - Université Paris 13,Métiers du multimédia et de l'internet,3297,979,42.8984375,50.0,85.6875,42,21,21,0,7,18,20,0,38,4,32,6,0,Créteil
7,2021,I.U.T. d'Allier - site de Vichy,Métiers du multimédia et de l'internet,2110,563,39.296875,50.0,80.390625,45,25,19,1,11,24,18,1,43,2,19,18,6,Clermont-Ferrand
8,2021,I.U.T de la Guadeloupe - Campus de St-Claude,Métiers du multimédia et de l'internet,276,69,37.09375,40.0,88.59375,31,14,17,0,4,10,9,0,19,12,17,2,0,Guadeloupe
9,2021,I.U.T de Marne la Vallée,Métiers du multimédia et de l'internet,1574,451,37.0,52.0,88.890625,48,26,22,0,6,25,18,0,43,5,24,18,1,Créteil
10,2021,I.U.T d'Aix-Marseille - Site d'Arles,Métiers du multimédia et de l'internet,1471,462,33.296875,56.0,87.0,47,23,24,0,7,20,19,0,39,8,26,11,2,Aix-Marseille
11,2021,I.U.T de Saint Dié - Université de Lorraine,Métiers du multimédia et de l'internet,795,226,33.296875,56.0,70.59375,36,13,17,6,15,13,14,6,33,3,22,10,1,Nancy-Metz
12,2021,I.U.T. Laval,Métiers du multimédia et de l'internet,1305,387,32.09375,78.0,92.296875,72,37,35,0,6,36,31,0,67,5,30,29,8,Nantes
13,2021,I.U.T de Lannion,Métiers du multimédia et de l'internet,661,187,32.09375,56.0,91.09375,51,27,24,0,5,23,21,0,44,7,29,15,0,Rennes
14,2021,I.U.T. de Haguenau,Métiers du multimédia et de l'internet,1230,378,31.19921875,92.0,79.59375,74,53,21,0,19,41,15,0,56,18,40,15,1,Strasbourg
15,2021,I.U.T de Tarbes,Métiers du multimédia et de l'internet,798,227,29.59765625,56.0,72.1875,39,20,19,0,15,19,13,0,32,7,18,12,2,Toulouse
16,2021,I.U.T. de Lens,Métiers du multimédia et de l'internet,1358,322,29.296875,95.0,69.59375,64,30,33,1,28,28,27,1,56,8,32,22,2,Lille
17,2021,IUT de CHAMBERY,Métiers du multimédia et de l'internet,1287,316,28.59765625,52.0,87.5,49,28,21,0,7,26,21,0,47,1,33,9,5,Grenoble
18,2021,I.U.T de Velizy,Métiers du multimédia et de l'internet,2041,504,27.59765625,56.0,84.5,49,23,24,2,9,20,23,2,45,4,27,14,4,Versailles
19,2021,I.U.T. de Clermont-Ferrand - Antenne du Puy,Métiers du multimédia et de l'internet,1208,292,26.8984375,54.0,75.0,39,23,16,0,13,23,10,0,33,6,24,9,0,Clermont-Ferrand
20,2021,IUT GRAND OUEST NORMANDIE - Pôle de Cherbourg - Site de Saint-Lô,Métiers du multimédia et de l'internet,999,247,26.19921875,42.0,61.8984375,26,9,17,0,16,9,15,0,24,2,11,10,3,Normandie
21,2021,I.U.T de Toulon - Antenne de Toulon (porte d'Italie),Métiers du multimédia et de l'internet,1539,514,26.19921875,78.0,88.09375,74,34,40,0,10,31,21,0,52,22,32,15,5,Nice
22,2021,I.U.T de Corte,Métiers du multimédia et de l'internet,341,105,26.0,50.0,74.0,37,18,15,4,13,13,6,3,22,14,17,5,0,Corse
23,2021,I.U.T de Belfort-Montbéliard - Site de Montbéliard,Métiers du multimédia et de l'internet,1139,351,24.69921875,72.0,67.09375,49,30,19,0,24,24,14,0,38,11,23,12,3,Besancon
24,2021,I.U.T De Rouen - Site d'Elbeuf,Métiers du multimédia et de l'internet,1495,359,24.69921875,75.0,80.796875,59,32,27,0,14,30,24,0,54,5,35,18,1,Normandie
25,2021,Iut De Troyes,Métiers du multimédia et de l'internet,1016,265,23.8984375,110.0,69.6875,76,43,30,3,33,41,26,3,70,6,44,19,7,Reims
26,2021,I.U.T. Angoulême,Métiers du multimédia et de l'internet,1511,417,23.5,69.0,88.1875,60,34,25,1,8,33,24,1,58,2,28,28,2,Poitiers
27,2021,I.U.T du Limousin - site de Limoges,Métiers du multimédia et de l'internet,1264,296,23.5,52.0,88.1875,45,20,25,0,6,20,20,0,40,5,31,7,2,Limoges
28,2021,I.U.T. de Mulhouse,Métiers du multimédia et de l'internet,1362,411,22.59765625,54.0,84.890625,45,23,22,0,8,17,17,0,34,11,26,7,1,Strasbourg
29,2021,I.U.T de Toulouse - Antenne de Castres,Métiers du multimédia et de l'internet,1241,331,17.5,54.0,66.6875,38,19,18,1,19,15,16,1,32,5,24,6,2,Toulouse
30,2021,I.U.T de Blois,Métiers du multimédia et de l'internet,1440,387,16.3984375,55.0,80.0,44,20,24,0,11,18,20,0,38,6,30,6,2,Orléans-Tours
31,2021,I.U.T de Marne la Vallée - Antenne de Meaux,Métiers du multimédia et de l'internet,1276,337,15.0,80.0,85.0,68,32,35,1,12,22,17,1,40,28,34,4,2,Créteil
32,2021,I.U.T de Dijon,Métiers du multimédia et de l'internet,1663,493,12.798828125,78.0,81.390625,70,35,35,0,16,29,21,0,50,20,36,11,3,Dijon
33,2020,I.U.T de Saint Dié - Université de Lorraine,I.U.T de Saint Dié - Université de Lorraine - DUT - Métiers du multimédia et de l'internet,516,145,47.17,54.0,81.13,43,23,12,8,10,16,12,8,36,7,15,14,7,Nancy-Metz
34,2020,I.U.T de Marne la Vallée,I.U.T de Marne la Vallée - DUT - Métiers du multimédia et de l'internet,1737,453,44.23,52.0,78.85,41,25,16,0,11,25,16,0,41,0,12,21,8,Créteil
35,2020,I.U.T de Lannion,I.U.T de Lannion - DUT - Métiers du multimédia et de l'internet (Seconde année possible en apprentissage),765,200,41.38,28.0,96.55,28,20,8,0,1,18,8,0,26,2,9,14,3,Rennes
36,2020,I.U.T Nancy-Charlemagne - Université de Lorraine,I.U.T Nancy-Charlemagne - Université de Lorraine - DUT - Métiers du multimédia et de l'internet,1037,282,40.35,52.0,75.44,43,31,12,0,14,29,12,0,41,2,26,13,2,Nancy-Metz
37,2020,I.U.T de Cergy-Pontoise - Site de Sarcelles,I.U.T de Cergy-Pontoise - Site de Sarcelles - DUT - Métiers du multimédia et de l'internet,2089,545,39.66,60.0,79.31,46,25,19,2,12,18,17,2,37,9,20,14,3,Versailles
38,2020,I.U.T d'Allier - Antenne de Vichy,I.U.T d'Allier - Antenne de Vichy - DUT - Métiers du multimédia et de l'internet,1274,317,39.62,52.0,81.13,43,25,18,0,10,22,16,0,38,5,21,15,2,Clermont-Ferrand
39,2020,IUT 1 GRENOBLE,IUT 1 GRENOBLE - DUT - Métiers du multimédia et de l'internet,1978,538,37.61,109.0,74.31,81,49,31,1,28,46,31,1,78,3,30,40,8,Grenoble
40,2020,I.U.T de Sénart/Fontainebleau - Site Sénart - UPEC,I.U.T de Sénart/Fontainebleau - Site Sénart - UPEC - DUT - Métiers du multimédia et de l'internet,1413,395,36.84,84.0,76.32,87,55,30,2,27,45,28,2,75,12,44,23,8,Créteil
41,2020,I.U.T de Marne la Vallée - Antenne de Meaux,I.U.T de Marne la Vallée - Antenne de Meaux - DUT - Métiers du multimédia et de l'internet,1673,441,36.71,80.0,86.08,68,42,24,2,11,34,19,2,55,13,41,13,1,Créteil
42,2020,I.U.T de Velizy,I.U.T de Velizy - DUT - Métiers du multimédia et de l'internet,1992,514,36.36,58.0,78.18,43,25,17,1,12,24,17,1,42,1,17,19,6,Versailles
43,2020,I.U.T. de Mulhouse,I.U.T. de Mulhouse - DUT - Métiers du multimédia et de l'internet,774,216,35.09,54.0,77.19,44,24,16,4,13,17,14,3,34,9,19,10,5,Strasbourg
44,2020,I.U.T. Laval,I.U.T. Laval - DUT - Métiers du multimédia et de l'internet (Seconde année possible en apprentissage),923,242,34.21,77.0,97.37,74,49,24,1,2,49,24,1,74,0,15,44,15,Nantes
45,2020,I.U.T d'Aix-Marseille - Site d'Arles,I.U.T d'Aix-Marseille - Site d'Arles - DUT - Métiers du multimédia et de l'internet,1508,427,33.96,56.0,81.13,43,22,20,1,10,20,19,1,40,3,26,12,2,Aix-Marseille
46,2020,I.U.T. Angoulême,I.U.T. Angoulême - DUT - Métiers du multimédia et de l'internet,1415,352,33.87,63.0,70.97,44,31,13,0,18,30,12,0,42,2,22,13,7,Poitiers
47,2020,I.U.T de Blois,I.U.T de Blois - DUT - Métiers du multimédia et de l'internet,1380,314,33.33,70.0,88.41,61,32,25,4,8,29,24,4,57,4,27,26,4,Orléans-Tours
48,2020,I.U.T de Toulon - Antenne de Toulon (porte d'Italie),I.U.T de Toulon - Antenne de Toulon (porte d'Italie) - DUT - Métiers du multimédia et de l'internet,1350,381,32.43,78.0,90.54,67,47,20,0,7,41,19,0,60,7,36,23,1,Nice
49,2020,IUT de CHAMBERY,IUT de CHAMBERY - DUT - Métiers du multimédia et de l'internet,1055,310,32.2,52.0,93.22,55,37,18,0,4,32,18,0,50,5,21,19,10,Grenoble
50,2020,I.U.T de Tarbes,I.U.T de Tarbes - DUT - Métiers du multimédia et de l'internet,768,197,32.14,56.0,78.57,44,19,25,0,12,18,24,0,42,2,25,16,1,Toulouse
51,2020,I.U.T. de Lens,I.U.T. de Lens - DUT - Métiers du multimédia et de l'internet,1280,262,31.91,95.0,61.7,58,37,21,0,36,32,18,0,50,8,24,22,4,Lille
52,2020,I.U.T. de Haguenau,I.U.T. de Haguenau - DUT - Métiers du multimédia et de l'internet,947,276,31.25,92.0,68.75,66,45,21,0,30,35,17,0,52,14,37,12,3,Strasbourg
53,2020,I.U.T. de Clermont-Ferrand - Antenne du Puy,I.U.T. de Clermont-Ferrand - Antenne du Puy - DUT - Métiers du multimédia et de l'internet,1278,340,30.91,54.0,72.73,40,24,16,0,15,15,12,0,27,13,18,9,0,Clermont-Ferrand
