,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
389,XL PIZZA (P.A PIZZA),6 RUE MARCEL MICHEAU,77220,TOURNAN EN BRIE,16048449,2021-06-17T02:00:00+02:00,_,Satisfaisant,,,48.740559,2.765515
954,TRATTORIA DU VAL,49 RUE DU VAL,77160,PROVINS,16351846,2022-02-25T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.56082,3.296002
1027,CLASS PIZZA (PIZZA DU PARC DE THORIGNY),6 RUE CORNILLIOT,77400,THORIGNY SUR MARNE,16173026,2021-09-23T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.884126,2.71059
1457,ASSOCIATION FAMILLES RURALES DE LA BASSEE,"75, rue Simone Veil",77480,Bray-sur-Seine,21-025361-1,2021-03-25T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,48.412399,3.242935
1529,LES TOURNESOLS,2 RUE DES TOURNESOLS,77130,Cannes-Écluse,20-095773-1,2021-04-13T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.359075,2.984074
1596,SARL AS EDEN,CENTRE COMMERCIAL EDEN,77170,Servon,21-040644-1,2021-05-26T02:00:00+02:00,Restaurant,A améliorer,,Restaurant,,
1921,DELICE IKBAR,89 bis av du Marechal Leclerc,77460,Souppes-sur-Loing,21-045439-1,2021-05-27T02:00:00+02:00,Transformation de produits carnés,A améliorer,77458004.0,,48.188262,2.729265
2488,COMPAGNIE GENERALE DE RESTAURATION,280 IMP ANITA CONTI,77127,Lieusaint,22-001066-1,2022-01-10T01:00:00+01:00,Restauration collective,Très satisfaisant,77251001.0,Restauration collective,48.617781,2.559554
2860,EARL DU PAVE,73 RUE VICTOR CLAIRET,77910,Varreddes,21-107567-1,2021-12-10T01:00:00+01:00,Producteur fermier,Très satisfaisant,,Producteur fermier,49.004473,2.928496
3075,BOUCHE DISTRIBUTION,8 BD DE LA MARNE ZI,77120,Coulommiers,21-099917-1,2021-12-07T01:00:00+01:00,Rayon poissonnerie,Très satisfaisant,,Rayon poissonnerie,,
3472,MJ AWAN,1 RUE DU PRESIDENT POINCARE,77220,Tournan-en-Brie,21-073117-1,2021-09-14T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.739474,2.762507
3508,FROMAGERIE ROUZAIRE,1 RUE DE VILLE,77220,Tournan-en-Brie,21-065882-1,2021-06-08T02:00:00+02:00,Entreposage de produits laitiers,Très satisfaisant,77470004.0,,48.740711,2.772869
3533,PIRES VIEIRA RAMIRO,RUE DE LA NOUE,77320,Choisy-en-Brie,21-032829-1,2021-04-26T02:00:00+02:00,Chaîne d'abattage de volaille/lagomorphe/petit gibier,Satisfaisant,77116001.0,,48.759223,3.21369
3573,CUISINE CENTRALE,rue de la Fontaine des Noues,77130,Varennes-sur-Seine,21-036420-1,2021-05-07T02:00:00+02:00,Restauration collective,Très satisfaisant,77482001.0,Restauration collective,48.375953,2.936502
